Injection Rate | Avg Packet Latency (Baseline) | Packets Injected (Baseline) | Packets Received (Baseline) | Avg Packet Latency (HT) | Packets Injected (HT) | Packets Received (HT) | Avg Packet Latency (Mitigation) | Packets Injected (Mitigation) | Packets Received (Mitigation)
---------------|------------------------------|----------------------------|---------------------------|-------------------------|----------------------|--------------------|------------------------------|----------------------------|---------------------------
0.02           | 11319.377990                  | 1267                       | 1254                      | 12058.350101            | 1267                 | 1248               | 11790.271132                  | 1267                       | 1254
0.04           | 11445.687551                  | 2489                       | 2458                      | 12363.307182            | 2489                 | 2233               | 12060.821806                  | 2489                       | 2458
0.06           | 11785.289346                  | 3738                       | 3698                      | 12317.533364            | 3738                 | 2958               | 12548.321603                  | 3738                       | 3694
0.08           | 11952.524643                  | 5019                       | 4971                      | 12808.791606            | 5019                 | 3616               | 13140.237759                  | 5019                       | 4963
0.10           | 12354.292049                  | 6391                       | 6314                      | 12935.247583            | 6391                 | 4296               | 13934.523810                  | 6391                       | 6300
0.12           | 12806.887417                  | 7636                       | 7550                      | 13320.659062            | 7636                 | 4819               | 18739.197758                  | 7134                       | 6781
0.14           | 13498.230796                  | 8874                       | 8761                      | 13963.732862            | 8874                 | 5418               | 15752.806499                  | 7204                       | 6770
0.16           | 14691.973645                  | 10164                      | 10017                     | 14810.870883            | 10164                | 5869               | 24010.639653                  | 8306                       | 7848
0.18           | 17282.786521                  | 11474                      | 11247                     | 16718.811003            | 11474                | 6585               | 28950.510998                  | 9439                       | 9002
0.20           | 22931.702179                  | 12649                      | 12343                     | 24681.434250            | 12649                | 7028               | 29908.262645                  | 9996                       | 9549
0.22           | 33321.219782                  | 13114                      | 12658                     | 35297.891322            | 13114                | 7217               | 23174.371210                  | 10554                      | 10059
0.24           | 35419.244392                  | 13158                      | 12705                     | 36362.752907            | 13158                | 7317               | 21694.239971                  | 11354                      | 10868
0.26           | 35303.509303                  | 13666                      | 13222                     | 42538.588837            | 13666                | 7683               | 21197.259566                  | 12086                      | 11604
0.28           | 35969.765245                  | 14255                      | 13759                     | 41083.005745            | 14255                | 7692               | 26130.803895                  | 12944                      | 12427
0.30           | 34481.377765                  | 14781                      | 14284                     | 38053.424063            | 14781                | 7967               | 31807.840205                  | 10295                      | 9362
0.32           | 32335.426129                  | 15476                      | 14972                     | 37613.928376            | 15476                | 8386               | 21471.641898                  | 14444                      | 13929
0.34           | 31858.092633                  | 16228                      | 15718                     | 35272.811181            | 16228                | 8658               | 23628.276999                  | 13029                      | 12130
0.36           | 30172.244873                  | 16946                      | 16433                     | 33329.811039            | 16946                | 9113               | 64295.580466                  | 9071                       | 7761
0.38           | 31008.113945                  | 17658                      | 17131                     | 33696.645209            | 17658                | 9174               | 44034.960294                  | 11385                      | 10326
0.40           | 30181.990627                  | 18462                      | 17924                     | 31913.434579            | 18462                | 9683               | 19124.352104                  | 12341                      | 11383
0.42           | 29510.368108                  | 19223                      | 18663                     | 32384.998303            | 19223                | 9933               | 32319.851188                  | 11580                      | 10483
0.44           | 29610.856702                  | 20018                      | 19435                     | 30975.892158            | 20018                | 10037              | 77869.634489                  | 6821                       | 5335
0.46           | 28366.184269                  | 20756                      | 20177                     | 31873.305085            | 20756                | 10566              | 46962.195829                  | 8190                       | 6904
0.48           | 29400.821878                  | 21503                      | 20806                     | 33202.635914            | 21503                | 10846              | 95340.099502                  | 6498                       | 5025
0.50           | 34988.690643                  | 22123                      | 21354                     | 33561.014421            | 22123                | 11199              | 100005.465950                 | 7152                       | 5580

