Injection Rate    Average Packet Latency    Packets Injected    Packets Received
.02               8730.861244              1261               1254
.04               8850.887813              2493               2478
.06               8981.014375              3715               3687
.08               9200.625378              4989               4957
.10               9430.487224              6357               6301
.12               9715.305313              7638               7566
.14               9984.291100              8844               8753
.16               10496.707244             10123              10022
.18               11212.294937             11452              11338
.20               12468.059749             12701              12586
.22               14181.301578             14049              13814
.24               12115.250668             12802              12347
.26               11374.631268             13677              13221
.28               11012.328153             13839              13384
.30               10461.952234             14409              13943
.32               12035.916700             15666              15174
.34               19102.567179             17159              16672
.36               20644.699304             18030              17526
.38               15827.822247             18599              18115
.40               16761.090426             19281              18800
.42               16482.341433             19926              19424
.44               21992.186366             21186              20669
.46               13058.267603             21314              20792
.48               26032.208864             22826              22292
.50               16760.763643             23114              22576

