Injection Rate | Avg Packet Latency (Baseline) | Packets Injected (Baseline) | Packets Received (Baseline) | Avg Packet Latency (HT) | Packets Injected (HT) | Packets Received (HT) | Avg Packet Latency (Mitigation) | Packets Injected (Mitigation) | Packets Received (Mitigation)
---------------|------------------------------|----------------------------|---------------------------|-------------------------|----------------------|--------------------|------------------------------|----------------------------|---------------------------
0.02           | 8507.575758                  | 1261                       | 1254                      | 8922.127660             | 1261                 | 1175               | 8730.861244                  | 1261                       | 1254
0.04           | 8584.543987                  | 2493                       | 2478                      | 8889.563653             | 2464                 | 2223               | 8850.887813                  | 2493                       | 2478
0.06           | 8649.443992                  | 3715                       | 3687                      | 8652.188220             | 3510                 | 3039               | 8981.014375                  | 3715                       | 3687
0.08           | 8816.421223                  | 4989                       | 4957                      | 8594.384209             | 4401                 | 3597               | 9200.625378                  | 4989                       | 4957
0.10           | 9031.185526                  | 6357                       | 6301                      | 8862.906977             | 5351                 | 4300               | 9430.487224                  | 6357                       | 6301
0.12           | 9237.214220                  | 7638                       | 7567                      | 8729.920364             | 5594                 | 4395               | 9715.305313                  | 7638                       | 7566
0.14           | 9358.153600                  | 8844                       | 8763                      | 8903.569874             | 5912                 | 4594               | 9984.291100                  | 8844                       | 8753
0.16           | 9670.537227                  | 10123                      | 10033                     | 8760.438535             | 5648                 | 4287               | 10496.707244                 | 10123                      | 10022
0.18           | 9997.490313                  | 11452                      | 11356                     | 9075.426842             | 5995                 | 4627               | 11212.294937                 | 11452                      | 11338
0.20           | 10338.058931                 | 12701                      | 12591                     | 9154.549412             | 5944                 | 4594               | 12468.059749                 | 12701                      | 12586
0.22           | 10710.171437                 | 14076                      | 13941                     | 9149.185874             | 6101                 | 4729               | 14181.301578                 | 14049                      | 13814
0.24           | 11285.681354                 | 15357                      | 15183                     | 9662.272727             | 5773                 | 4400               | 12115.250668                 | 12802                      | 12347
0.26           | 11937.223803                 | 16695                      | 16519                     | 9969.430993             | 6339                 | 4956               | 11374.631268                 | 13677                      | 13221
0.28           | 12952.707276                 | 17930                      | 17730                     | 10165.906128            | 5984                 | 4602               | 11012.328153                 | 13839                      | 13384
0.30           | 14031.741425                 | 19238                      | 18950                     | 10791.201717            | 6037                 | 4660               | 10461.952234                 | 14409                      | 13943
0.32           | 16970.572071                 | 20372                      | 20015                     | 11301.884921            | 6418                 | 5040               | 12035.916700                 | 15666                      | 15174
0.34           | 22565.484116                 | 21516                      | 21028                     | 13847.071130            | 6155                 | 4780               | 19102.567179                 | 17159                      | 16672
0.36           | 28454.007642                 | 22293                      | 21721                     | 12764.753600            | 6308                 | 4931               | 20644.699304                 | 18030                      | 17526
0.38           | 34057.420968                 | 22922                      | 22396                     | 12926.666667            | 6261                 | 4875               | 15827.822247                 | 18599                      | 18115
0.40           | 37457.031932                 | 23472                      | 22924                     | 14449.458484            | 5810                 | 4432               | 16761.090426                 | 19281                      | 18800
0.42           | 37168.772373                 | 24277                      | 23745                     | 15877.747253            | 6110                 | 4732               | 16482.341433                 | 19926                      | 19424
0.44           | 39924.319202                 | 24884                      | 24273                     | 16655.835827            | 6060                 | 4678               | 21992.186366                 | 21186                      | 20669
0.46           | 41794.192522                 | 25737                      | 25140                     | 17202.290076            | 6482                 | 5109               | 13058.267603                 | 21314                      | 20792
0.48           | 41449.019456                 | 26465                      | 25853                     | 17077.012712            | 6100                 | 4720               | 26032.208864                 | 22826                      | 22292
0.50           | 44215.709593                 | 27141                      | 26487                     | 20215.023062            | 5933                 | 4553               | 16760.763643                 | 23114                      | 22576


